houghmean,steering_angle
337.7692308,-0.110410829
343.7678571,-0.106010112
339.9642857,-0.101621175
323.2291667,-0.097245645
351.3472222,-0.092885119
342.203125,-0.088541169
349.6111111,-0.084215341
335.2083333,-0.079909154
329.0833333,-0.075624097
354,-0.071361635
359.2916667,-0.067123202
360.675,-0.062910206
370.5833333,-0.058724026
365.8409091,-0.054566012
355.45,-0.050437487
338.8125,-0.046339742
332.2166667,-0.042274041
360.8035714,-0.03824162
352.8333333,-0.034243684
368.5178571,-0.030281409
362.5625,-0.024770181
359.3541667,-0.01765476
367.8571429,-0.013696982
348.0416667,-0.006510973
340.4285714,0.000711461
362.3846154,0.007967034
355.8571429,0.011969787
360.65625,0.01927602
368,0.026604026
385.625,0.030582672
359.7307692,0.0379336
356.3846154,0.045298048
346.4642857,0.049215565
359.9423077,0.056586746
363.6923077,0.063964678
350.6153846,0.071344874
351.9583333,0.07516668
359.8846154,0.082538935
370.0416667,0.089908146
349.25,0.093615054
381.6346154,0.10095835
349.4375,0.111967671
367.5714286,0.115621073
360.5535714,0.119165062
345,0.126457582
338.8611111,0.133736529
363.4791667,0.140991201
353.359375,0.144338661
342.8333333,0.151548249
358.453125,0.158739677
331.9166667,0.165909797
363.9166667,0.169040595
360.0384615,0.176154666
356.65,0.183246378
323.2222222,0.190312826
363.9464286,0.193201528
338.875,0.200203334
372.5,0.207179667
331.45,0.214127791
317.6363636,0.216752839
345.4230769,0.223629546
347.15,0.239043447
334.0576923,0.24163872
347.075,0.244083241
348.7954545,0.246382179
355.2291667,0.253094993
362.4615385,0.259758946
346.96875,0.261780029
361,0.268350307
336.3333333,0.274893807
334.4615385,0.281407651
347.575,0.287889331
355.5535714,0.289554717
354.1818182,0.295961568
342.59375,0.302337506
355.1538462,0.308680232
353.9423077,0.314987714
354.3,0.316274981
325.5833333,0.322501319
343.5769231,0.328695024
319.9038462,0.334854053
329.7727273,0.34097661
351.4583333,0.341864013
325.7291667,0.353135025
348.3,0.353907885
328.375,0.359878548
334.0526316,0.365812726
348.9166667,0.366285267
363.625,0.372124046
342.375,0.377931768
340.3166667,0.383706435
311.6875,0.389446301
316.9583333,0.3951607
342.2,0.395144358
347.3181818,0.443593406
331.8846154,0.444386327
365.2708333,0.444975328
357.9583333,0.445369847
336.9,0.445480992
354.671875,0.445324951
348.8863636,0.444916092
353.4423077,0.444267201
361.8035714,0.443389881
362.2272727,0.442294686
342.9090909,0.447243439
348.9464286,0.445882845
348.5892857,0.450758975
348.0357143,0.455628543
337.8409091,0.460487352
333.1764706,0.465344313
323.171875,0.470194851
335.6923077,0.475034924
327.7857143,0.47986095
338.375,0.478011395
332.6607143,0.482767923
341.9807692,0.487502038
335.1666667,0.492211444
340,0.496907402
327.078125,0.501586618
321.765625,0.499271012
336.3076923,0.503876572
310.390625,0.515495908
322.7916667,0.513012789
332.8529412,0.517553296
318.3571429,0.522076102
347.3166667,0.526564148
371.0882353,0.531030408
333.9642857,0.528117838
337.1041667,0.53250374
332.923913,0.536861198
336.3095238,0.541188162
354.1617647,0.545497441
329.9047619,0.549785657
328.6826923,0.554049736
344.875,0.558286865
353.5729167,0.562494425
347.25,0.558928102
350.71875,0.563046014
340.3088235,0.567128452
342.85,0.578981999
356.2916667,0.575194339
341.0833333,0.579187797
340.3333333,0.583150488
345.2214286,0.587063754
335.0862069,0.582875196
346.1283784,0.586699568
350.1691176,0.590484691
347.7083333,0.594228019
344.9677419,0.597943275
333.1166667,0.601626368
337.969697,0.605273525
358.75,0.608881245
334.1590909,0.612446232
342.0454545,0.607615819
348.4722222,0.611080729
355.18125,0.614495599
376.2580645,0.617857752
344.9071429,0.621181336
350.15,0.624462029
333.3097826,0.627695834
356.0833333,0.630879033
358.4652778,0.634008121
366.9146341,0.628536046
355.75625,0.631554697
360.9924242,0.634511564
353.0337838,0.637403791
364.7440476,0.640245756
356.5526316,0.643032922
351.0328947,0.645761102
350.9011628,0.648426412
354.8986486,0.642372759
350.224359,0.644921689
358.7055556,0.647399286
370.3783784,0.649802477
359.3064516,0.652145672
366.6891892,0.654424138
377.7142857,0.656633531
372.7383721,0.658769846
376.7272727,0.652156031
363.5448718,0.654168302
371.9625,0.656098842
370.8297872,0.657944569
383.1730769,0.65971996
378.7051282,0.661420302
376.0961538,0.663041302
369.9593023,0.664579036
